listing_no,title,price,location,street_address,erf_size,property_type,list_date,description,listing_url,scraped_at
117101653,Vacant Land / Plot for Sale in Kikuyu,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101653,2026-04-08 17:27:33 UTC
117101654,Vacant Land / Plot for Sale in Kiambu,KSh 1 299 000,"Thigio Kiambu County, Kiambu, Kiambu","Thigio Kiambu County, Kiambu",0.12 m²,Vacant Land / Plot,08 April 2026,"-The project is located in Thigio which is only 15 minutes drive from Kikuyu town and 1Km from the Tarmac. -The soil is suitable for construction and farming. and comes with : 1.Graded & murramed internal access roads 2.Concrete posts fencing 3.Estate gate 4.Trees in the estate 5.Water and electricity are in the neighborhood. -The minimum booking fee for each plot is Ksh. 150,000 only. -The price is all-inclusive, i.e., legal fees, stamp duty and title transfer fees with no hidden charges with an installment plan as well. -Daily free site visits from Kencom and Kikuyu Town,",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kiambu-117101654,2026-04-08 17:27:51 UTC
117101669,Vacant Land / Plot for Sale in Kikuyu,KSh 1 299 000,"Thigio Kiambu County, Kikuyu, Kikuyu","Thigio Kiambu County, Kikuyu",0.12 acres,Vacant Land / Plot,08 April 2026,"-The project is located in Thigio which is only 15 minutes drive from Kikuyu town and 1Km from the Tarmac. -The soil is suitable for construction and farming. and comes with : 1.Graded & murramed internal access roads 2.Concrete posts fencing 3.Estate gate 4.Trees in the estate 5.Water and electricity are in the neighborhood. -The minimum booking fee for each plot is Ksh. 150,000 only. -The price is all-inclusive, i.e., legal fees, stamp duty and title transfer fees with no hidden charges with an installment plan as well. -Daily free site visits from Kencom and Kikuyu Town,",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101669,2026-04-08 17:28:05 UTC
117101585,Vacant Land / Plot for Sale in Kikuyu,"KSh { ""@context"": ""https://schema.org"", ""@type"": ""Product"", ""name"": ""Vacant Land / Plot for Sale in Kikuyu"", ""description"": ""Vacant Land / Plot for sale in Kikuyu for KSh 1 299 000 - Web ref 117101585 : Property24 Kenya. -The project is located in Thigio which is only 15 minutes"", ""url"": ""/vacant-land-plot-for-sale-in-kikuyu-117101585"" ,""image"": ""https://images.prop24.com/5knsytjd55oloxoou23agtqmuq/Crop676x507"",""offers"": { ""@type"": ""Offer"", ""price"": ""KSh 1 299 000"", ""priceCurrency"": ""R"" } }",,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101585,2026-04-08 17:28:06 UTC
117101656,Vacant Land / Plot for Sale in Kikuyu,KSh 1 299 000,"Thigio Kiambu County, Kikuyu, Kikuyu","Thigio Kiambu County, Kikuyu",0.12 acres,Vacant Land / Plot,08 April 2026,"-The project is located in Thigio which is only 15 minutes drive from Kikuyu town and 1Km from the Tarmac. -The soil is suitable for construction and farming. and comes with : 1.Graded & murramed internal access roads 2.Concrete posts fencing 3.Estate gate 4.Trees in the estate 5.Water and electricity are in the neighborhood. -The minimum booking fee for each plot is Ksh. 150,000 only. -The price is all-inclusive, i.e., legal fees, stamp duty and title transfer fees with no hidden charges with an installment plan as well. -Daily free site visits from Kencom and Kikuyu Town,",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101656,2026-04-08 17:28:12 UTC
117101695,Vacant Land / Plot for Sale in Kikuyu,KSh 1 299 000,"Thigio Kiambu County, Kikuyu, Kikuyu","Thigio Kiambu County, Kikuyu",0.12 acres,Vacant Land / Plot,08 April 2026,"-The project is located in Thigio which is only 15 minutes drive from Kikuyu town and 1Km from the Tarmac. -The soil is suitable for construction and farming. and comes with : 1.Graded & murramed internal access roads 2.Concrete posts fencing 3.Estate gate 4.Trees in the estate 5.Water and electricity are in the neighborhood. -The minimum booking fee for each plot is Ksh. 150,000 only. -The price is all-inclusive, i.e., legal fees, stamp duty and title transfer fees with no hidden charges with an installment plan as well. -Daily free site visits from Kencom and Kikuyu Town,",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101695,2026-04-08 17:28:21 UTC
117070155,Vacant Land / Plot for Sale in Konza,KSh 14 000 000,"8589+3j7 Konza, Konza, Machakos","8589+3J7 Konza, Konza",10 acres,Vacant Land / Plot,26 March 2026,"10.8-ACRES OF LAND ON SALE IN MALILI, KONZA NEAR FORMER OFFICES Own 10.8-Acres of Land in Malili, Near Konza Technopolis City a piece of land located near the former offices with rent soil, and also near The Africa’s emerging Silicon Valley. This is an incredible opportunity to invest on land located in an upcoming modern city. Secure your Land in this groundbreaking urban and technological center. Asking price is Kshs. 14,000,000.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117070155,2026-04-08 17:28:23 UTC
117101671,Vacant Land / Plot for Sale in Kikuyu,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101671,2026-04-08 17:28:41 UTC
117083766,Vacant Land / Plot for Sale in Joska,KSh 207 000 000,"M3cv+27 Pridelands, Joska, Nairobi","M3CV+27 Pridelands, Joska",46 acres,Vacant Land / Plot,31 March 2026,"LAND INVESTMENT ALERT – JOSKA ~46 acres of prime land now available! ~ Fully fenced (chain link) ~ Developed with farmhouse & large store ~Solar borehole installed ~Good access road – only 7km from tarmac ~ Near a growing educational hub ~ Ksh 4.5M per acre ~ Perfect for developers, SACCOs, and serious investors.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-joska-117083766,2026-04-08 17:28:49 UTC
117086454,Vacant Land / Plot for Sale in Muthaiga,KSh 500 000 000,"Muthaiga Nairobi, Muthaiga, Nairobi","Muthaiga Nairobi, Muthaiga",2.5 acres,Vacant Land / Plot,01 April 2026,"A rare opportunity to own 2.5 acres of prime land in the prestigious Muthaiga area, one of Nairobi’s most exclusive and secure neighborhoods. This exceptional property enjoys uninterrupted views overlooking Karura Forest, providing a serene, green, and tranquil environment ideal for luxury living. The land also features river frontage, adding a unique natural touch and enhancing its exclusivity. Perfect for high-end residential development, ambassadorial residences, luxury villas, or a boutique gated community, this property offers both prestige and strong investment potential. Key Features: - 2.5 acres of prime land - Scenic views overlooking Karura Forest - River frontage – rare and highly sought-after - Located in a blue-chip, secure neighborhood - Ideal for luxury development Total Price: KES 500 Million An outstanding investment opportunity in one of Nairobi’s most desirable locations. Contact us today to schedule a private viewing or for more information. Read more...",https://www.property24.co.ke/vacant-land-plot-for-sale-in-muthaiga-117086454,2026-04-08 17:28:56 UTC
117099203,Vacant Land / Plot for Sale in Lukenya,KSh 9 500 000,"Lukenya Machakos County, Lukenya, Athi River","Lukenya Machakos County, Lukenya",0.5 acres,Vacant Land / Plot,08 April 2026,"1/2 ACRE PLOT IN LUKENYA, ATHI RIVER: For Sale, 0.5 acre plot in a secure community within Lukenya. ? Ready title ? Situated in a gated, fenced perimeter ? 1 minute walk to Lukenya Getaway ? 2 minute walk to Daystar University ? Ideal for building retirement home, family home, holiday home Asking Price: Kes. 9.5",https://www.property24.co.ke/vacant-land-plot-for-sale-in-lukenya-117099203,2026-04-08 17:29:22 UTC
117099209,Vacant Land / Plot for Sale in Ngong,KSh 4 000 000,"Kibiko Kajiado County, Ngong, Ngong","Kibiko Kajiado County, Ngong",0.05 acres,Vacant Land / Plot,08 April 2026,50 by 100 plot for sale in ngong kibiku ngere road. Asking price ksh 4m slightly negotiable,https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-117099209,2026-04-08 17:29:30 UTC
117097133,Vacant Land / Plot for Sale in Kajiado,KSh 850 000 000,"Namanga Road Kitengela, Kajiado, Kajiado","Namanga Road Kitengela, Kajiado",540 acres,Vacant Land / Plot,07 April 2026,"540 Acre conservancy for sale,inluding the owners 5 bedroom villa,ndege tatu 2 star hotel, 4 complete tractors with trailers, several cars,pickup as you can see from the pictures and many other things which are not captured in the photo and has 3 boreholes.The land is in kajiado county. kajiado namanga road near Basil town about 4Km from highway.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kajiado-117097133,2026-04-08 17:29:35 UTC
117086508,Vacant Land / Plot for Sale in Karen,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117086508,2026-04-08 17:29:41 UTC
117052333,Vacant Land / Plot for Sale in Konza,KSh 8 700 000,"Malili, Konza, Machakos","Malili, Konza",10 acres,Vacant Land / Plot,22 March 2026,"10-ACRES OF LAND ON SALE IN MALILI, KONZA NEAR MOMBASA ROAD Own 10-Acres of Land in Malili, Near Konza Technopolis City ( LESS than 5 KM on the highway and approximately 10 minutes drive ), Africa’s emerging Silicon Valley. This prime property is strategically located near Kenya's ""Silicon Valley,"" an innovation hub poised to transform the region. This is an incredible opportunity to invest in a fast-growing area with significant potential for future appreciation. Secure your Land in this groundbreaking urban and technological center. Asking price is Kshs. 870,000 per Acre.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117052333,2026-04-08 17:29:43 UTC
117051993,,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117051993,2026-04-08 17:29:52 UTC
117052324,,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117052324,2026-04-08 17:30:01 UTC
117091261,Vacant Land / Plot for Sale in Loresho,KSh 55 000 000,"Loresho Nairobi, Loresho, Nairobi","Loresho Nairobi, Loresho",0.45 acres,Vacant Land / Plot,03 April 2026,"Size of the plot 0.45 acres Property can be used for occupation but can also be redeveloped. Presently 3 bedrooms, master en-suite (typical Loresho house) with two servants quarters and an annex with more room Leasehold title Asking price 55m",https://www.property24.co.ke/vacant-land-plot-for-sale-in-loresho-117091261,2026-04-08 17:30:10 UTC
117101646,Vacant Land / Plot for Sale in Kikuyu,KSh 1 299 000,"Kiambu Kiambu County, Kikuyu, Kikuyu","Kiambu Kiambu County, Kikuyu",0.12 acres,Vacant Land / Plot,08 April 2026,"-The project is located in Thigio which is only 15 minutes drive from Kikuyu town and 1Km from the Tarmac. -The soil is suitable for construction and farming. and comes with : 1.Graded & murramed internal access roads 2.Concrete posts fencing 3.Estate gate 4.Trees in the estate 5.Water and electricity are in the neighborhood. -The minimum booking fee for each plot is Ksh. 150,000 only. -The price is all-inclusive, i.e., legal fees, stamp duty and title transfer fees with no hidden charges with an installment plan as well. -Daily free site visits from Kencom and Kikuyu Town,",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101646,2026-04-08 17:30:26 UTC
117055063,Vacant Land / Plot for Sale in Konza,KSh 7 500 000,"Malili Ke, Konza, Machakos","Malili KE, Konza",10 acres,Vacant Land / Plot,23 March 2026,"10-ACRES OF LAND ON SALE IN MALILI, KONZA OFF MOMBASA ROAD Own 10-Acres of Land in Malili, Near Konza Technopolis City ( LESS than 7 Km from Mombasa Road ), Africa’s emerging Silicon Valley. This prime property is strategically located near Kenya's ""Silicon Valley,"" an innovation hub poised to transform the region. This is an incredible opportunity to invest in a fast-growing area with significant potential for future appreciation. Secure your Land in this groundbreaking urban and technological center. Asking price is Kshs. 750,000 per Acre.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117055063,2026-04-08 17:30:27 UTC
117022224,Not Found,KSh 5 000 000,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-embu-117022224,2026-04-08 17:30:36 UTC
117026711,Vacant Land / Plot for Sale in Industrial Area,KSh 145 000 000,"Icd Rd Nairobi, Industrial Area, Nairobi","ICD Rd Nairobi, Industrial Area",6 acres,Vacant Land / Plot,14 March 2026,"Located in the highly sought-after Inland Container Depot (ICD) Industrial Area, this 6-acre parcel offers an excellent opportunity for logistics, warehousing, and manufacturing operations. This prime property sits within one of Nairobi’s most strategic industrial zones, providing easy access to major transport networks and key commercial hubs. Property Highlights: • ?? Location: ICD Industrial Area, Nairobi • ?? Size: 6 Acres • ?? Price: KSh 145 Million per acre • ?? Ideal for: Warehousing, logistics yards, manufacturing plants, or large-scale industrial development • ?? Excellent connectivity to major highways and transport routes • ?? Close proximity to the Inland Container Depot, making it perfect for import/export businesses This is a rare opportunity to secure large-scale industrial land in a rapidly growing logistics and distribution hub. Read more...",https://www.property24.co.ke/vacant-land-plot-for-sale-in-industrial-area-117026711,2026-04-08 17:30:49 UTC
